occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
11-1011,Chief Executives,detailed,75700.0,129540.0,213990.0,356200.0,507730.0,0.0514750176659155,Bachelor's degree
11-1021,General and Operations Managers,detailed,50090.0,72320.0,105770.0,167280.0,253390.0,0.0387484976965202,Bachelor's degree
11-2011,Advertising and Promotions Managers,detailed,63300.0,91370.0,133660.0,201050.0,286240.0,0.0387709199290136,Bachelor's degree
11-2021,Marketing Managers,detailed,90260.0,123020.0,166790.0,216410.0,293610.0,0.030906857683713,Bachelor's degree
11-2022,Sales Managers,detailed,73170.0,100360.0,148270.0,207340.0,290540.0,0.0397986841190562,Bachelor's degree
11-2032,Public Relations Managers,detailed,82410.0,106580.0,146910.0,204520.0,284990.0,0.0326129429868611,Bachelor's degree
11-2033,Fundraising Managers,detailed,75130.0,95970.0,125470.0,169990.0,222350.0,0.0271655384296343,Bachelor's degree
11-3012,Administrative Services Managers,detailed,67100.0,86460.0,114130.0,157420.0,207720.0,0.0281546845162428,Bachelor's degree
11-3013,Facilities Managers,detailed,64480.0,82020.0,106660.0,138870.0,176120.0,0.0266163614413899,Bachelor's degree
11-3021,Computer and Information Systems Managers,detailed,107550.0,138060.0,175140.0,220730.0,297510.0,0.0240749610433037,Bachelor's degree
11-3031,Financial Managers,detailed,94310.0,125490.0,166570.0,219980.0,323270.0,0.0287237504696007,Bachelor's degree
11-3051,Industrial Production Managers,detailed,78000.0,98160.0,126060.0,161880.0,205520.0,0.0253314419979753,Bachelor's degree
11-3061,Purchasing Managers,detailed,92490.0,115550.0,148080.0,182270.0,223280.0,0.0251151350441121,Bachelor's degree
11-3071,"Transportation, Storage, and Distribution Managers",detailed,65120.0,82440.0,107230.0,146770.0,194900.0,0.026639175061121,High school diploma or equivalent
11-3111,Compensation and Benefits Managers,detailed,89160.0,113170.0,149230.0,200610.0,256570.0,0.0280458453644041,Bachelor's degree
11-3121,Human Resources Managers,detailed,88200.0,111110.0,149280.0,199290.0,267810.0,0.0299706467662965,Bachelor's degree
11-3131,Training and Development Managers,detailed,79550.0,101850.0,133000.0,176870.0,233600.0,0.0270440259775388,Bachelor's degree
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,54320.0,66300.0,89900.0,118860.0,160020.0,0.0309191721434771,High school diploma or equivalent
11-9021,Construction Managers,detailed,69690.0,88550.0,114990.0,151640.0,189440.0,0.0264721030924195,Bachelor's degree
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,38580.0,47040.0,59300.0,75500.0,98240.0,0.0234314013129628,Bachelor's degree
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,76280.0,86040.0,105870.0,134630.0,167770.0,0.0209565298217426,Master's degree
11-9033,"Education Administrators, Postsecondary",detailed,64560.0,80870.0,104590.0,144370.0,215620.0,0.0260541280754669,Master's degree
11-9039,"Education Administrators, All Other",detailed,51910.0,68980.0,95200.0,126590.0,161010.0,0.0327408975201322,Bachelor's degree
11-9041,Architectural and Engineering Managers,detailed,120810.0,139360.0,171270.0,212500.0,262760.0,0.0208320954218415,Bachelor's degree
11-9051,Food Service Managers,detailed,45960.0,56870.0,69390.0,86800.0,107640.0,0.020096754713025,High school diploma or equivalent
11-9071,Gambling Managers,detailed,55960.0,72570.0,93220.0,122990.0,164350.0,0.0253572287899561,High school diploma or equivalent
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,46270.0,61060.0,79520.0,104770.0,139110.0,0.026767130080151,Bachelor's degree
11-9081,Lodging Managers,detailed,40070.0,49530.0,69250.0,94030.0,128880.0,0.0340823962911291,High school diploma or equivalent
11-9111,Medical and Health Services Managers,detailed,73390.0,94700.0,123860.0,166100.0,224340.0,0.0272073296921071,Bachelor's degree
11-9121,Natural Sciences Managers,detailed,79710.0,119430.0,167220.0,221540.0,316850.0,0.0342308274009421,Bachelor's degree
11-9131,Postmasters and Mail Superintendents,detailed,85090.0,90650.0,96660.0,102960.0,111740.0,0.0064400212554336,High school diploma or equivalent
11-9141,"Property, Real Estate, and Community Association Managers",detailed,41010.0,50720.0,69990.0,97910.0,139680.0,0.0327273408486643,High school diploma or equivalent
11-9151,Social and Community Service Managers,detailed,53150.0,64290.0,80390.0,103200.0,132260.0,0.0226001692964195,Bachelor's degree
11-9161,Emergency Management Directors,detailed,54210.0,67910.0,93330.0,126490.0,166430.0,0.0323067177716982,Bachelor's degree
11-9171,Funeral Home Managers,detailed,49700.0,61890.0,78790.0,103940.0,156400.0,0.0244365426463837,Associate's degree
11-9179,"Personal Service Managers, All Other",detailed,44910.0,54130.0,69770.0,94440.0,118710.0,0.02570641001217,High school diploma or equivalent
11-9199,"Managers, All Other",detailed,74300.0,102880.0,141900.0,186300.0,238270.0,0.0326785207578141,Bachelor's degree
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,48010.0,63670.0,82890.0,146430.0,284570.0,0.0267311279980611,Bachelor's degree
13-1020,Buyers and Purchasing Agents,detailed,48380.0,60800.0,77710.0,100820.0,128870.0,0.0248429855477392,Bachelor's degree
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,48850.0,61160.0,78000.0,98030.0,117040.0,0.0246197258299705,High school diploma or equivalent
13-1032,"Insurance Appraisers, Auto Damage",detailed,58360.0,65050.0,78240.0,91880.0,101590.0,0.0186339674217004,Postsecondary nondegree award
13-1041,Compliance Officers,detailed,48220.0,61280.0,80730.0,109010.0,133720.0,0.0279491211850053,Bachelor's degree
13-1051,Cost Estimators,detailed,48530.0,61150.0,78740.0,101850.0,130820.0,0.0256044461435516,Bachelor's degree
13-1071,Human Resources Specialists,detailed,47180.0,58610.0,75940.0,99380.0,128720.0,0.0262422422433372,Bachelor's degree
13-1074,Farm Labor Contractors,detailed,30930.0,35720.0,58460.0,79590.0,84050.0,0.0504968055021797,No formal educational credential
13-1075,Labor Relations Specialists,detailed,50490.0,71920.0,95420.0,123420.0,156180.0,0.0286768666874654,Bachelor's degree
13-1081,Logisticians,detailed,50890.0,64440.0,82320.0,106190.0,133160.0,0.0247902457144253,Bachelor's degree
13-1082,Project Management Specialists,detailed,61580.0,78440.0,102320.0,133100.0,167970.0,0.0269334367904965,Bachelor's degree
13-1111,Management Analysts,detailed,60640.0,77950.0,101860.0,133370.0,171640.0,0.0271142515280113,Bachelor's degree
13-1121,"Meeting, Convention, and Event Planners",detailed,36830.0,46970.0,61160.0,78790.0,101700.0,0.0267499530237909,Bachelor's degree
13-1131,Fundraisers,detailed,46630.0,57480.0,72550.0,92180.0,115820.0,0.0235570777779854,Bachelor's degree
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,49480.0,60890.0,78210.0,100400.0,128920.0,0.0253488087282085,Bachelor's degree
13-1151,Training and Development Specialists,detailed,38760.0,50110.0,69280.0,95050.0,123250.0,0.0329239506441583,Bachelor's degree
13-1161,Market Research Analysts and Marketing Specialists,detailed,43390.0,58350.0,78760.0,108310.0,155480.0,0.0304489586982961,Bachelor's degree
13-1199,"Business Operations Specialists, All Other",detailed,47880.0,62640.0,83050.0,114010.0,150010.0,0.028605373501692,Bachelor's degree
13-2011,Accountants and Auditors,detailed,56020.0,67020.0,83680.0,109810.0,144090.0,0.0224491654940919,Bachelor's degree
13-2020,Property Appraisers and Assessors,detailed,40030.0,50970.0,67960.0,92760.0,122660.0,0.0291860089647606,Bachelor's degree
13-2031,Budget Analysts,detailed,62250.0,75320.0,91640.0,114220.0,136660.0,0.019805798334866,Bachelor's degree
13-2041,Credit Analysts,detailed,56250.0,65210.0,83510.0,122460.0,169230.0,0.025043812291595,Bachelor's degree
13-2051,Financial and Investment Analysts,detailed,63720.0,79290.0,102740.0,133340.0,180860.0,0.0262475051800261,Bachelor's degree
13-2052,Personal Financial Advisors,detailed,50190.0,72440.0,105070.0,176790.0,357020.0,0.0378868967814547,Bachelor's degree
13-2053,Insurance Underwriters,detailed,55530.0,64620.0,81370.0,110390.0,145160.0,0.0233159332331622,Bachelor's degree
13-2054,Financial Risk Specialists,detailed,64820.0,83980.0,117330.0,158250.0,196110.0,0.0340066218933929,Bachelor's degree
13-2061,Financial Examiners,detailed,56230.0,70660.0,94160.0,129600.0,174200.0,0.0291277328097145,Bachelor's degree
13-2071,Credit Counselors,detailed,38350.0,45720.0,52230.0,64080.0,80440.0,0.0134011211174269,Bachelor's degree
13-2072,Loan Officers,detailed,39430.0,52730.0,76690.0,104080.0,153180.0,0.0381690957505775,Bachelor's degree
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,42000.0,49450.0,62370.0,83390.0,114550.0,0.0234837337744842,Bachelor's degree
13-2082,Tax Preparers,detailed,33760.0,38910.0,54920.0,76300.0,99270.0,0.0350633467050274,High school diploma or equivalent
13-2099,"Financial Specialists, All Other",detailed,48460.0,61290.0,81100.0,110410.0,151490.0,0.0284024989664704,Bachelor's degree
15-1211,Computer Systems Analysts,detailed,67340.0,82860.0,105850.0,134110.0,167710.0,0.0247893262437814,Bachelor's degree
15-1212,Information Security Analysts,detailed,75090.0,97810.0,129180.0,163500.0,199850.0,0.0282085292535057,Bachelor's degree
15-1221,Computer and Information Research Scientists,detailed,82200.0,103570.0,140300.0,188700.0,230630.0,0.0308188923195797,Master's degree
15-1231,Computer Network Support Specialists,detailed,47120.0,58240.0,76220.0,98750.0,127780.0,0.0272703606813247,Associate's degree
15-1232,Computer User Support Specialists,detailed,40980.0,49000.0,61860.0,79040.0,100540.0,0.023579038535785,"Some college, no degree"
15-1241,Computer Network Architects,detailed,79900.0,104620.0,134050.0,168200.0,202680.0,0.0250975847306318,Bachelor's degree
15-1242,Database Administrators,detailed,60230.0,79610.0,104620.0,135460.0,163320.0,0.0276961017720387,Bachelor's degree
15-1243,Database Architects,detailed,86240.0,109370.0,139500.0,169290.0,204000.0,0.0246312555600258,Bachelor's degree
15-1244,Network and Computer Systems Administrators,detailed,62640.0,78010.0,99130.0,126640.0,155050.0,0.0242488448511071,Bachelor's degree
15-1251,Computer Programmers,detailed,57710.0,75850.0,100390.0,130680.0,160460.0,0.0284270401602837,Bachelor's degree
15-1252,Software Developers,detailed,82460.0,105210.0,135980.0,171980.0,214670.0,0.025986866852349,Bachelor's degree
15-1253,Software Quality Assurance Analysts and Testers,detailed,61440.0,80310.0,104300.0,133180.0,167010.0,0.026482307505008,Bachelor's degree
15-1254,Web Developers,detailed,48100.0,64230.0,92650.0,126230.0,162290.0,0.0373152200935376,Bachelor's degree
15-1255,Web and Digital Interface Designers,detailed,53750.0,73290.0,104000.0,158820.0,201550.0,0.0356162628018621,Bachelor's degree
15-1299,"Computer Occupations, All Other",detailed,55940.0,79370.0,116580.0,157500.0,188470.0,0.0391943265833225,Bachelor's degree
15-2011,Actuaries,detailed,78570.0,97680.0,130000.0,170650.0,215100.0,0.0289961980716131,Bachelor's degree
15-2021,Mathematicians,detailed,69240.0,88570.0,126710.0,157020.0,195190.0,0.0364597101678005,Master's degree
15-2031,Operations Research Analysts,detailed,57060.0,68360.0,88940.0,125990.0,159910.0,0.026666773815912,Bachelor's degree
15-2041,Statisticians,detailed,64000.0,82220.0,105650.0,141490.0,174050.0,0.0253902955493432,Master's degree
15-2051,Data Scientists,detailed,67240.0,85660.0,120230.0,158880.0,199130.0,0.0344832847631799,Bachelor's degree
15-2099,"Mathematical Science Occupations, All Other",detailed,47980.0,60750.0,81490.0,107180.0,154580.0,0.029806914595998,Bachelor's degree
17-1011,"Architects, Except Landscape and Naval",detailed,62300.0,77960.0,99280.0,126550.0,161420.0,0.0244694067649302,Bachelor's degree
17-1012,Landscape Architects,detailed,54770.0,64170.0,79870.0,104090.0,130190.0,0.022127715397934,Bachelor's degree
17-1021,Cartographers and Photogrammetrists,detailed,53740.0,65670.0,81390.0,101960.0,126950.0,0.021692965515877,Bachelor's degree
17-1022,Surveyors,detailed,46880.0,58170.0,75440.0,98130.0,125590.0,0.0263376519129232,Bachelor's degree
17-2011,Aerospace Engineers,detailed,86700.0,106110.0,134960.0,169690.0,205890.0,0.0243417535466956,Bachelor's degree
17-2021,Agricultural Engineers,detailed,68060.0,82260.0,98590.0,124880.0,166460.0,0.0182734402138116,Bachelor's degree
17-2031,Bioengineers and Biomedical Engineers,detailed,71850.0,86980.0,109370.0,136600.0,168180.0,0.023170195575056,Bachelor's degree
17-2041,Chemical Engineers,detailed,79420.0,97820.0,125040.0,157190.0,182880.0,0.0248543071279043,Bachelor's degree
17-2051,Civil Engineers,detailed,68240.0,79930.0,100840.0,129680.0,163220.0,0.0235105000881326,Bachelor's degree
17-2061,Computer Hardware Engineers,detailed,92940.0,126090.0,161740.0,202990.0,225330.0,0.0252119964382231,Bachelor's degree
17-2071,Electrical Engineers,detailed,76550.0,92830.0,120630.0,152950.0,184300.0,0.0265419407106786,Bachelor's degree
17-2072,"Electronics Engineers, Except Computer",detailed,81840.0,101680.0,130220.0,167670.0,206960.0,0.0250480300652153,Bachelor's degree
17-2081,Environmental Engineers,detailed,69990.0,83570.0,107110.0,134420.0,162220.0,0.0251276833726403,Bachelor's degree
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,68420.0,90930.0,115160.0,142980.0,171250.0,0.0239044877655636,Bachelor's degree
17-2112,Industrial Engineers,detailed,74370.0,83600.0,102440.0,129250.0,159860.0,0.0205313000888565,Bachelor's degree
17-2121,Marine Engineers and Naval Architects,detailed,83010.0,99250.0,112230.0,137690.0,173330.0,0.012366684546939,Bachelor's degree
17-2131,Materials Engineers,detailed,72300.0,88080.0,112860.0,142720.0,175720.0,0.025100095544899,Bachelor's degree
17-2141,Mechanical Engineers,detailed,73990.0,84130.0,104110.0,132590.0,164340.0,0.0215371279266349,Bachelor's degree
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,67490.0,85280.0,106220.0,136590.0,169990.0,0.0222000798395778,Bachelor's degree
17-2161,Nuclear Engineers,detailed,92960.0,108690.0,133970.0,163630.0,196290.0,0.021131789882453,Bachelor's degree
17-2171,Petroleum Engineers,detailed,81440.0,106270.0,144910.0,197920.0,253200.0,0.0314988962317959,Bachelor's degree
17-2199,"Engineers, All Other",detailed,66810.0,90970.0,122930.0,158090.0,189950.0,0.0305663758554399,Bachelor's degree
17-3011,Architectural and Civil Drafters,detailed,46260.0,55650.0,66150.0,80870.0,99710.0,0.017434518808052,Associate's degree
17-3012,Electrical and Electronics Drafters,detailed,50040.0,61430.0,76870.0,96730.0,120290.0,0.0226749932337677,Associate's degree
17-3013,Mechanical Drafters,detailed,48360.0,58080.0,71550.0,86120.0,106580.0,0.0210765516974222,Associate's degree
17-3019,"Drafters, All Other",detailed,43420.0,51650.0,63520.0,79700.0,99380.0,0.0209019100490173,Associate's degree
17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,59050.0,67680.0,82890.0,111280.0,125160.0,0.0204792513669529,Associate's degree
17-3022,Civil Engineering Technologists and Technicians,detailed,44220.0,51490.0,64950.0,80650.0,98980.0,0.0234947666395146,Associate's degree
17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,49510.0,61610.0,78190.0,97650.0,115700.0,0.0241180024145106,Associate's degree
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,47840.0,59780.0,73900.0,88540.0,109890.0,0.0214305728781778,Associate's degree
17-3025,Environmental Engineering Technologists and Technicians,detailed,39910.0,48200.0,59920.0,75960.0,96660.0,0.0220037201212408,Associate's degree
17-3026,Industrial Engineering Technologists and Technicians,detailed,47300.0,55760.0,66120.0,80280.0,99150.0,0.0171874845338715,Associate's degree
17-3027,Mechanical Engineering Technologists and Technicians,detailed,48400.0,59510.0,74510.0,88110.0,106050.0,0.022733452103834,Associate's degree
17-3028,Calibration Technologists and Technicians,detailed,46680.0,56380.0,67820.0,92080.0,106550.0,0.0186459700812537,Associate's degree
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,47030.0,60390.0,78350.0,99310.0,118330.0,0.0263781478983955,Associate's degree
17-3031,Surveying and Mapping Technicians,detailed,37520.0,45430.0,54240.0,66700.0,81630.0,0.0178826092353752,High school diploma or equivalent
19-1011,Animal Scientists,detailed,44350.0,49770.0,68940.0,103300.0,166000.0,0.0331190360228381,Bachelor's degree
19-1012,Food Scientists and Technologists,detailed,52920.0,68810.0,88720.0,116650.0,145280.0,0.025739305219665,Bachelor's degree
19-1013,Soil and Plant Scientists,detailed,48680.0,61660.0,78850.0,103740.0,138120.0,0.0248960461891196,Bachelor's degree
19-1021,Biochemists and Biophysicists,detailed,74290.0,95000.0,127410.0,163460.0,201110.0,0.029788389595001,Doctoral or professional degree
19-1022,Microbiologists,detailed,54670.0,67100.0,87990.0,122350.0,150000.0,0.0274745649424921,Bachelor's degree
19-1023,Zoologists and Wildlife Biologists,detailed,49100.0,61180.0,76780.0,96100.0,126440.0,0.022972275147856,Bachelor's degree
19-1029,"Biological Scientists, All Other",detailed,60430.0,76800.0,98920.0,127670.0,168010.0,0.0256337151703294,Bachelor's degree
19-1031,Conservation Scientists,detailed,47550.0,57700.0,73010.0,91560.0,110410.0,0.0238130324570502,Bachelor's degree
19-1032,Foresters,detailed,50790.0,62710.0,76400.0,91640.0,109700.0,0.0199424224880306,Bachelor's degree
19-1041,Epidemiologists,detailed,61270.0,71090.0,87220.0,112640.0,138800.0,0.0206592052939318,Master's degree
