occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
11-1011,Chief Executives,detailed,85790.0,133610.0,218600.0,351090.0,486830.0,0.0504638691058705,Bachelor's degree
11-1021,General and Operations Managers,detailed,60370.0,81620.0,124390.0,186230.0,293810.0,0.0430350142080468,Bachelor's degree
11-2011,Advertising and Promotions Managers,detailed,72800.0,122790.0,167230.0,216220.0,321360.0,0.0313714826868887,Bachelor's degree
11-2021,Marketing Managers,detailed,104370.0,139950.0,193620.0,271360.0,326400.0,0.0329938389951705,Bachelor's degree
11-2022,Sales Managers,detailed,64430.0,91210.0,134910.0,206710.0,300580.0,0.0399205696769002,Bachelor's degree
11-2032,Public Relations Managers,detailed,97800.0,125550.0,167980.0,222310.0,300800.0,0.0295420419565959,Bachelor's degree
11-2033,Fundraising Managers,detailed,84730.0,106910.0,135870.0,192290.0,257500.0,0.0242607355034485,Bachelor's degree
11-3012,Administrative Services Managers,detailed,75030.0,92110.0,108890.0,159910.0,215360.0,0.016876290765627,Bachelor's degree
11-3013,Facilities Managers,detailed,70690.0,85870.0,118620.0,157810.0,203400.0,0.0328366625950489,Bachelor's degree
11-3021,Computer and Information Systems Managers,detailed,129970.0,170240.0,218290.0,293470.0,325970.0,0.0251731496208802,Bachelor's degree
11-3031,Financial Managers,detailed,101820.0,136030.0,180770.0,269990.0,341670.0,0.0288431395511095,Bachelor's degree
11-3051,Industrial Production Managers,detailed,80950.0,102490.0,132620.0,173660.0,222020.0,0.026107242674118,Bachelor's degree
11-3061,Purchasing Managers,detailed,99560.0,125000.0,159830.0,196620.0,241340.0,0.0248842724689859,Bachelor's degree
11-3071,"Transportation, Storage, and Distribution Managers",detailed,71260.0,86290.0,123780.0,166100.0,208420.0,0.0367379611575717,High school diploma or equivalent
11-3111,Compensation and Benefits Managers,detailed,105840.0,127420.0,166730.0,217510.0,289910.0,0.0272534652354814,Bachelor's degree
11-3121,Human Resources Managers,detailed,96430.0,129210.0,170080.0,224990.0,307600.0,0.027864133750475,Bachelor's degree
11-3131,Training and Development Managers,detailed,96900.0,121420.0,156260.0,208040.0,274960.0,0.0255474501175492,Bachelor's degree
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,73790.0,96630.0,109140.0,142180.0,174810.0,0.0122486284472784,High school diploma or equivalent
11-9021,Construction Managers,detailed,82100.0,102780.0,133160.0,168070.0,211970.0,0.0262342793350898,Bachelor's degree
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,47590.0,54020.0,67100.0,80640.0,100800.0,0.0219197534415698,Bachelor's degree
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,103250.0,130110.0,159950.0,169350.0,202380.0,0.0208627488504373,Master's degree
11-9033,"Education Administrators, Postsecondary",detailed,76700.0,94440.0,125460.0,169550.0,216480.0,0.0288094161802661,Master's degree
11-9039,"Education Administrators, All Other",detailed,61970.0,73610.0,99650.0,136650.0,179970.0,0.0307516733765138,Bachelor's degree
11-9041,Architectural and Engineering Managers,detailed,137900.0,169140.0,210280.0,251890.0,296130.0,0.022010044651886,Bachelor's degree
11-9051,Food Service Managers,detailed,47690.0,60040.0,78260.0,100190.0,127340.0,0.026856877040523,High school diploma or equivalent
11-9071,Gambling Managers,detailed,72630.0,79810.0,99230.0,135480.0,185670.0,0.0220180548342794,High school diploma or equivalent
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,47370.0,63370.0,79550.0,112030.0,165870.0,0.0230000329153812,Bachelor's degree
11-9081,Lodging Managers,detailed,46150.0,62690.0,76950.0,99670.0,143430.0,0.0207068643046695,High school diploma or equivalent
11-9111,Medical and Health Services Managers,detailed,72800.0,98470.0,141480.0,205390.0,274660.0,0.0369053405938117,Bachelor's degree
11-9121,Natural Sciences Managers,detailed,130730.0,167630.0,210230.0,304380.0,330050.0,0.0229026283475455,Bachelor's degree
