state,in_district,out_of_state,multiple,schools,source,public4_in_state
AK,5260.0,5260.0,1.0,1,ccb,8820.0
AL,5040.0,8850.0,1.76,23,two_year,11119.0
AR,3516.0,4991.0,1.42,22,two_year,9019.0
AS,5460.0,5760.0,1.05,1,ccb,
AZ,2358.0,8959.0,3.8,15,two_year,12144.0
CA,1288.0,9924.0,7.7,102,two_year,7826.0
CO,4438.0,7564.0,1.7,6,two_year,10438.0
CT,5092.0,14840.0,2.91,1,two_year,15372.0
DE,4965.0,11828.0,2.38,1,ccb,13197.0
FL,2916.0,10714.0,3.67,28,ccb,6118.0
FM,5050.0,5050.0,1.0,1,ccb,
GA,3172.0,5572.0,1.76,24,two_year,5498.0
GU,3414.0,4614.0,1.35,1,ccb,6110.0
HI,3209.0,8345.0,2.6,6,two_year,7838.0
IA,6140.0,6825.0,1.11,16,two_year,10497.0
ID,3390.0,7344.0,2.17,3,two_year,8569.0
IL,4385.0,12525.0,2.86,48,two_year,12939.0
IN,4912.0,9465.0,1.93,1,two_year,9438.0
KS,4007.0,4944.0,1.23,24,two_year,9322.0
KY,4656.0,6192.0,1.33,16,two_year,10513.0
LA,4220.0,4220.0,1.0,14,two_year,9018.0
MA,5688.0,10918.0,1.92,15,two_year,11884.0
MD,4095.0,9731.0,2.38,16,two_year,9998.0
ME,3797.0,6677.0,1.76,7,two_year,10920.0
MH,6840.0,7480.0,1.09,1,ccb,
MI,4566.0,8224.0,1.8,25,two_year,14978.0
MN,6182.0,6209.0,1.0,27,two_year,10417.0
MO,4302.0,7860.0,1.83,12,two_year,9495.0
MP,4038.0,5520.0,1.37,1,ccb,
MS,3865.0,6060.0,1.57,15,two_year,8700.0
MT,3975.0,10368.0,2.61,9,two_year,7350.0
NC,2548.0,8692.0,3.41,58,two_year,7266.0
ND,5347.0,5478.0,1.02,5,two_year,8876.0
NE,3494.0,4808.0,1.38,8,two_year,8280.0
NH,7090.0,15340.0,2.16,7,two_year,14710.0
NJ,5280.0,8942.0,1.69,19,two_year,15700.0
NM,2004.0,4985.0,2.49,19,two_year,7868.0
NV,3888.0,11766.0,3.03,4,ccb,8994.0
NY,6077.0,10451.0,1.72,36,two_year,8540.0
OH,5076.0,9522.0,1.88,14,two_year,10614.0
OK,5032.0,9720.0,1.93,13,two_year,7842.0
OR,5544.0,8607.0,1.55,15,two_year,12594.0
PA,6270.0,13205.0,2.11,17,two_year,14500.0
PR,3707.0,3707.0,1.0,5,two_year,5324.0
PW,3730.0,3970.0,1.06,1,two_year,
RI,5326.0,14210.0,2.67,1,two_year,13697.0
SC,5046.0,10110.0,2.0,19,two_year,11700.0
SD,7587.0,7587.0,1.0,4,two_year,9299.0
TN,4540.0,17740.0,3.91,13,two_year,10144.0
TX,2916.0,6076.0,2.08,39,two_year,9560.0
UT,4257.0,13701.0,3.22,1,two_year,8810.0
VA,4933.0,10936.0,2.22,24,two_year,14559.0
VT,3560.0,13640.0,3.83,1,two_year,15145.0
WA,4938.0,7430.0,1.5,3,two_year,10922.0
WI,4724.0,6917.0,1.46,15,two_year,8487.0
WV,4881.0,10214.0,2.09,8,two_year,9177.0
WY,4410.0,10710.0,2.43,3,two_year,6938.0
