city,occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate
"New York, NY",11-1011,Chief Executives,detailed,164740.0,208320.0,301440.0,462490.0,709670.0,0.03764068428082368
"New York, NY",11-1021,General and Operations Managers,detailed,71030.0,100040.0,157000.0,226350.0,364770.0,0.0460985423300333
"New York, NY",11-2011,Advertising and Promotions Managers,detailed,80290.0,132020.0,174390.0,280970.0,344650.0,0.02822506141861969
"New York, NY",11-2021,Marketing Managers,detailed,116040.0,156020.0,192840.0,246000.0,324990.0,0.02141371474275
"New York, NY",11-2022,Sales Managers,detailed,109210.0,160200.0,215150.0,310750.0,368210.0,0.029930415780768937
"New York, NY",11-2032,Public Relations Managers,detailed,111770.0,147000.0,192360.0,243410.0,323190.0,0.027258499688305404
"New York, NY",11-2033,Fundraising Managers,detailed,105770.0,133180.0,170780.0,224880.0,305020.0,0.02517923239760056
"New York, NY",11-3012,Administrative Services Managers,detailed,94790.0,119300.0,149990.0,204680.0,291320.0,0.023156779233914904
"New York, NY",11-3013,Facilities Managers,detailed,83210.0,103750.0,134010.0,171940.0,218680.0,0.025923339880955076
"New York, NY",11-3021,Computer and Information Systems Managers,detailed,139610.0,171950.0,215300.0,285570.0,322410.0,0.02273751119605616
"New York, NY",11-3031,Financial Managers,detailed,133940.0,170860.0,221010.0,327970.0,371170.0,0.026070383362188254
"New York, NY",11-3051,Industrial Production Managers,detailed,93220.0,117020.0,151630.0,178570.0,220030.0,0.02624842620657697
"New York, NY",11-3061,Purchasing Managers,detailed,117120.0,140240.0,171810.0,217340.0,292610.0,0.02051091346733802
"New York, NY",11-3071,"Transportation, Storage, and Distribution Managers",detailed,88330.0,107710.0,133640.0,172850.0,217500.0,0.021805048519895953
"New York, NY",11-3111,Compensation and Benefits Managers,detailed,120760.0,143280.0,179730.0,224990.0,289680.0,0.022924310755655597
"New York, NY",11-3121,Human Resources Managers,detailed,107300.0,142490.0,185100.0,242400.0,323820.0,0.02650768061001707
"New York, NY",11-3131,Training and Development Managers,detailed,104630.0,133900.0,173810.0,220990.0,281450.0,0.026430192275680664
"New York, NY",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50160.0,73440.0,96480.0,126680.0,156210.0,0.027662389969576928
"New York, NY",11-9021,Construction Managers,detailed,91740.0,118630.0,158000.0,202280.0,250520.0,0.029073170555501626
"New York, NY",11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,56800.0,73600.0,98470.0,104680.0,158110.0,0.029538548564838507
"New York, NY",11-9032,"Education Administrators, Kindergarten through Secondary",detailed,99730.0,129140.0,163210.0,174500.0,206640.0,0.023690323882682662
"New York, NY",11-9033,"Education Administrators, Postsecondary",detailed,98750.0,107490.0,137800.0,179360.0,269170.0,0.02515165101825967
"New York, NY",11-9039,"Education Administrators, All Other",detailed,55690.0,74570.0,90990.0,130510.0,169780.0,0.02010048064568326
"New York, NY",11-9041,Architectural and Engineering Managers,detailed,133740.0,157290.0,183890.0,222800.0,289560.0,0.015747354852629236
"New York, NY",11-9051,Food Service Managers,detailed,61210.0,71560.0,82970.0,106660.0,140410.0,0.014904260895007404
"New York, NY",11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,64210.0,77730.0,94390.0,134820.0,171450.0,0.019609167967983954
"New York, NY",11-9081,Lodging Managers,detailed,47250.0,72140.0,94030.0,119990.0,155120.0,0.026854781720315746
"New York, NY",11-9111,Medical and Health Services Managers,detailed,102450.0,130030.0,167580.0,219010.0,348010.0,0.02569411176138514
"New York, NY",11-9121,Natural Sciences Managers,detailed,79110.0,136480.0,180460.0,234010.0,313810.0,0.028326893511691598
"New York, NY",11-9131,Postmasters and Mail Superintendents,detailed,90790.0,95560.0,101150.0,109180.0,117120.0,0.005701214531639964
"New York, NY",11-9141,"Property, Real Estate, and Community Association Managers",detailed,58170.0,74710.0,96950.0,141170.0,207960.0,0.026400624719376875
"New York, NY",11-9151,Social and Community Service Managers,detailed,68210.0,80620.0,100570.0,128890.0,162290.0,0.02235697814511095
"New York, NY",11-9161,Emergency Management Directors,detailed,74170.0,80950.0,100980.0,128650.0,178360.0,0.022355296628918442
"New York, NY",11-9171,Funeral Home Managers,detailed,66860.0,79960.0,113620.0,166760.0,212050.0,0.03575776999187963
"New York, NY",11-9179,"Personal Service Managers, All Other",detailed,44000.0,55240.0,74320.0,121740.0,139150.0,0.03011379487114363
"New York, NY",11-9199,"Managers, All Other",detailed,92500.0,128770.0,169800.0,218090.0,300080.0,0.028045411490702943
"New York, NY",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,52370.0,58610.0,83820.0,132150.0,220470.0,0.036424315778701644
"New York, NY",13-1020,Buyers and Purchasing Agents,detailed,55780.0,68930.0,83350.0,107550.0,136590.0,0.019177277591024833
"New York, NY",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,55440.0,76030.0,95980.0,118350.0,135760.0,0.02357477718485046
"New York, NY",13-1032,"Insurance Appraisers, Auto Damage",detailed,81600.0,87130.0,99670.0,99670.0,99670.0,0.013537155959680636
"New York, NY",13-1041,Compliance Officers,detailed,58990.0,75660.0,101050.0,128790.0,160670.0,0.0293593129743579
"New York, NY",13-1051,Cost Estimators,detailed,52000.0,62020.0,82380.0,113610.0,150690.0,0.028795373530079438
"New York, NY",13-1071,Human Resources Specialists,detailed,58140.0,70210.0,89780.0,124130.0,155480.0,0.024891904733342685
"New York, NY",13-1075,Labor Relations Specialists,detailed,65570.0,83760.0,107470.0,153800.0,168820.0,0.025238857581055818
"New York, NY",13-1081,Logisticians,detailed,61710.0,76500.0,92540.0,119120.0,139400.0,0.019217345330303504
"New York, NY",13-1082,Project Management Specialists,detailed,77350.0,96370.0,126660.0,164800.0,206180.0,0.02770805974174184
"New York, NY",13-1111,Management Analysts,detailed,66430.0,94490.0,124390.0,168320.0,210390.0,0.027874192022533828
"New York, NY",13-1121,"Meeting, Convention, and Event Planners",detailed,48840.0,62180.0,78610.0,102660.0,132960.0,0.02372358260760743
"New York, NY",13-1131,Fundraisers,detailed,57570.0,67760.0,82180.0,103170.0,134990.0,0.01948132321528706
"New York, NY",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,63370.0,78390.0,89130.0,108830.0,138070.0,0.01292274723796294
"New York, NY",13-1151,Training and Development Specialists,detailed,39850.0,56920.0,79840.0,106760.0,137860.0,0.03441679610565829
"New York, NY",13-1161,Market Research Analysts and Marketing Specialists,detailed,60400.0,76510.0,100520.0,130700.0,166880.0,0.027669406334345448
"New York, NY",13-1199,"Business Operations Specialists, All Other",detailed,50210.0,67370.0,92120.0,123890.0,157200.0,0.031783879457704334
"New York, NY",13-2011,Accountants and Auditors,detailed,71850.0,82830.0,105650.0,137490.0,174750.0,0.024632634462319114
"New York, NY",13-2020,Property Appraisers and Assessors,detailed,60060.0,69800.0,82920.0,127010.0,140280.0,0.017373420134704
"New York, NY",13-2031,Budget Analysts,detailed,66030.0,80100.0,96340.0,118710.0,147100.0,0.018632228244190863
"New York, NY",13-2041,Credit Analysts,detailed,80850.0,102550.0,136500.0,205570.0,258320.0,0.029010244938353802
"New York, NY",13-2051,Financial and Investment Analysts,detailed,79340.0,103140.0,128930.0,174990.0,225390.0,0.022569148230965563
"New York, NY",13-2052,Personal Financial Advisors,detailed,81520.0,112000.0,170050.0,302290.0,420630.0,0.04264355100379724
"New York, NY",13-2053,Insurance Underwriters,detailed,73400.0,81420.0,98410.0,131760.0,168630.0,0.019132880091127014
"New York, NY",13-2054,Financial Risk Specialists,detailed,93550.0,108170.0,139670.0,178990.0,220260.0,0.025887245327236963
"New York, NY",13-2061,Financial Examiners,detailed,78560.0,98300.0,133380.0,175040.0,217430.0,0.030988259008213337
"New York, NY",13-2071,Credit Counselors,detailed,47240.0,53390.0,63170.0,79680.0,100730.0,0.01696286713329398
"New York, NY",13-2072,Loan Officers,detailed,58860.0,72010.0,101570.0,159940.0,208610.0,0.03499264640466504
"New York, NY",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,52980.0,64810.0,86340.0,121880.0,140730.0,0.029098635320514488
"New York, NY",13-2082,Tax Preparers,detailed,39010.0,49100.0,71300.0,98940.0,124950.0,0.03800824644273226
"New York, NY",13-2099,"Financial Specialists, All Other",detailed,57920.0,80110.0,109580.0,166970.0,221460.0,0.031821223064742554
"New York, NY",15-1211,Computer Systems Analysts,detailed,78000.0,97990.0,128340.0,161200.0,179110.0,0.027349059602845394
"New York, NY",15-1212,Information Security Analysts,detailed,86860.0,107810.0,140470.0,175710.0,216280.0,0.026815589421377295
"New York, NY",15-1221,Computer and Information Research Scientists,detailed,94550.0,129990.0,170890.0,252670.0,314130.0,0.027733872907897972
"New York, NY",15-1231,Computer Network Support Specialists,detailed,52230.0,64560.0,86930.0,108590.0,138410.0,0.03019779451268101
"New York, NY",15-1232,Computer User Support Specialists,detailed,47600.0,59900.0,75690.0,95270.0,117080.0,0.023672810557791246
"New York, NY",15-1241,Computer Network Architects,detailed,101240.0,128610.0,163010.0,191120.0,216880.0,0.023985839526215802
"New York, NY",15-1242,Database Administrators,detailed,70890.0,87370.0,121550.0,162390.0,185400.0,0.03356849490410152
"New York, NY",15-1243,Database Architects,detailed,86230.0,93280.0,131540.0,175760.0,216480.0,0.034968018797226996
"New York, NY",15-1244,Network and Computer Systems Administrators,detailed,75810.0,95980.0,119390.0,142410.0,171470.0,0.022065480729277276
"New York, NY",15-1251,Computer Programmers,detailed,76000.0,94990.0,126750.0,151470.0,173900.0,0.029264533410105376
"New York, NY",15-1252,Software Developers,detailed,101690.0,130650.0,166830.0,205970.0,224590.0,0.024746570564872394
"New York, NY",15-1253,Software Quality Assurance Analysts and Testers,detailed,75490.0,99990.0,130540.0,159140.0,181330.0,0.02701953400871937
"New York, NY",15-1254,Web Developers,detailed,48610.0,67080.0,104820.0,137850.0,180480.0,0.045647034565399425
"New York, NY",15-1255,Web and Digital Interface Designers,detailed,64360.0,96100.0,119190.0,167660.0,204510.0,0.021766461331863107
"New York, NY",15-1299,"Computer Occupations, All Other",detailed,56330.0,82510.0,126910.0,171020.0,212380.0,0.04399621875382875
"New York, NY",15-2011,Actuaries,detailed,90590.0,115310.0,161460.0,211330.0,276250.0,0.03423634970590217
"New York, NY",15-2021,Mathematicians,detailed,79110.0,89380.0,113590.0,172680.0,286800.0,0.02425943915145523
"New York, NY",15-2031,Operations Research Analysts,detailed,64170.0,69100.0,103110.0,139840.0,174310.0,0.04083592555918214
"New York, NY",15-2041,Statisticians,detailed,79400.0,102390.0,137510.0,174060.0,208700.0,0.029929917860801014
"New York, NY",15-2051,Data Scientists,detailed,79870.0,101320.0,135980.0,173160.0,216030.0,0.029859514342148286
"New York, NY",15-2099,"Mathematical Science Occupations, All Other",detailed,45590.0,65790.0,79460.0,133140.0,264510.0,0.01905791721221073
"New York, NY",17-1011,"Architects, Except Landscape and Naval",detailed,65500.0,77950.0,99710.0,129690.0,168490.0,0.024925408486129452
"New York, NY",17-1012,Landscape Architects,detailed,67050.0,77200.0,94040.0,111890.0,134620.0,0.019928040893702814
"New York, NY",17-1021,Cartographers and Photogrammetrists,detailed,37530.0,68700.0,85500.0,110960.0,130870.0,0.022117767644317388
"New York, NY",17-1022,Surveyors,detailed,60280.0,74030.0,83610.0,103540.0,141550.0,0.012243618229826447
"New York, NY",17-2011,Aerospace Engineers,detailed,106890.0,123590.0,126620.0,160040.0,177900.0,0.0024250195663910734
"New York, NY",17-2031,Bioengineers and Biomedical Engineers,detailed,81050.0,93740.0,110830.0,155460.0,205550.0,0.01688827166607232
"New York, NY",17-2041,Chemical Engineers,detailed,81680.0,95480.0,126830.0,149210.0,170460.0,0.028800006234171116
"New York, NY",17-2051,Civil Engineers,detailed,78250.0,88710.0,107330.0,143310.0,176400.0,0.01923623520208273
"New York, NY",17-2061,Computer Hardware Engineers,detailed,101010.0,134020.0,160300.0,205640.0,216050.0,0.01806707169257149
"New York, NY",17-2071,Electrical Engineers,detailed,81440.0,100600.0,128340.0,158880.0,171030.0,0.024652031474991398
"New York, NY",17-2072,"Electronics Engineers, Except Computer",detailed,95430.0,109240.0,144930.0,184630.0,205710.0,0.028673756045776155
"New York, NY",17-2081,Environmental Engineers,detailed,69990.0,87210.0,107910.0,152870.0,169340.0,0.02152627233530313
"New York, NY",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,56880.0,79430.0,111380.0,144480.0,167380.0,0.03438512158304041
"New York, NY",17-2112,Industrial Engineers,detailed,78270.0,93100.0,105840.0,130260.0,162390.0,0.012908032168558847
"New York, NY",17-2121,Marine Engineers and Naval Architects,detailed,112230.0,112230.0,112230.0,134370.0,134370.0,0.0
"New York, NY",17-2131,Materials Engineers,detailed,87160.0,104820.0,147490.0,162770.0,169600.0,0.034741439241377625
"New York, NY",17-2141,Mechanical Engineers,detailed,79520.0,92180.0,109990.0,137060.0,165010.0,0.017821568789726516
"New York, NY",17-2199,"Engineers, All Other",detailed,82450.0,101270.0,135300.0,174490.0,197490.0,0.02939415667559664
"New York, NY",17-3011,Architectural and Civil Drafters,detailed,49110.0,61500.0,77170.0,94720.0,119430.0,0.022956905596639876
"New York, NY",17-3012,Electrical and Electronics Drafters,detailed,60310.0,65820.0,77830.0,99600.0,120030.0,0.01690156392288622
"New York, NY",17-3013,Mechanical Drafters,detailed,61420.0,73820.0,84070.0,98690.0,124490.0,0.013086902400675005
"New York, NY",17-3019,"Drafters, All Other",detailed,61760.0,65150.0,81220.0,109910.0,123800.0,0.022291751184438047
"New York, NY",17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,62470.0,62630.0,75060.0,78600.0,97660.0,0.01826921676901394
"New York, NY",17-3022,Civil Engineering Technologists and Technicians,detailed,44970.0,59250.0,73790.0,98320.0,99490.0,0.022188323224081596
"New York, NY",17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,55950.0,65380.0,82000.0,103020.0,119260.0,0.022908750042674786
"New York, NY",17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,51960.0,59720.0,72300.0,105180.0,111640.0,0.019299590707448022
"New York, NY",17-3025,Environmental Engineering Technologists and Technicians,detailed,51650.0,58840.0,65790.0,81820.0,91620.0,0.011227152223154624
"New York, NY",17-3026,Industrial Engineering Technologists and Technicians,detailed,48840.0,61040.0,75260.0,96380.0,101980.0,0.02116276102150505
"New York, NY",17-3027,Mechanical Engineering Technologists and Technicians,detailed,42800.0,56710.0,73400.0,91130.0,105830.0,0.026132968582312177
"New York, NY",17-3028,Calibration Technologists and Technicians,detailed,48150.0,57140.0,71950.0,92100.0,111710.0,0.02331433094869162
"New York, NY",17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,50100.0,63160.0,78890.0,103780.0,133310.0,0.02248744361056887
"New York, NY",17-3031,Surveying and Mapping Technicians,detailed,46980.0,48370.0,57530.0,70520.0,93620.0,0.017493933753716107
"New York, NY",19-1011,Animal Scientists,detailed,72940.0,81070.0,102540.0,113500.0,130910.0,0.023772156800788924
"New York, NY",19-1012,Food Scientists and Technologists,detailed,64510.0,81180.0,104200.0,130870.0,165820.0,0.025278539769687525
"New York, NY",19-1013,Soil and Plant Scientists,detailed,60170.0,72760.0,84740.0,104910.0,134230.0,0.015358892996398366
"New York, NY",19-1021,Biochemists and Biophysicists,detailed,82610.0,98670.0,109620.0,134220.0,162370.0,0.010579459965066818
"New York, NY",19-1022,Microbiologists,detailed,66880.0,78490.0,85710.0,109770.0,135760.0,0.00883865998306943
"New York, NY",19-1023,Zoologists and Wildlife Biologists,detailed,64620.0,70740.0,86400.0,106440.0,148740.0,0.020198941743598153
"New York, NY",19-1029,"Biological Scientists, All Other",detailed,76930.0,95740.0,111380.0,135760.0,170830.0,0.015246214987991946
"New York, NY",19-1031,Conservation Scientists,detailed,50420.0,57190.0,64020.0,87590.0,106350.0,0.011345525437945092
"New York, NY",19-1032,Foresters,detailed,69570.0,69620.0,69620.0,80170.0,92150.0,0.0
"New York, NY",19-1041,Epidemiologists,detailed,71360.0,80220.0,98340.0,143780.0,173660.0,0.020574598109214914
"New York, NY",19-1042,"Medical Scientists, Except Epidemiologists",detailed,74840.0,81420.0,103360.0,141170.0,182980.0,0.024146629969731714
"New York, NY",19-1099,"Life Scientists, All Other",detailed,66210.0,81930.0,100600.0,135180.0,160060.0,0.020740866506279154
"New York, NY",19-2012,Physicists,detailed,87300.0,132420.0,181970.0,222610.0,308990.0,0.03229689525241475
"New York, NY",19-2021,Atmospheric and Space Scientists,detailed,58670.0,73350.0,128790.0,190330.0,398630.0,0.057908733657471734
"New York, NY",19-2031,Chemists,detailed,60980.0,76940.0,85150.0,108700.0,144260.0,0.01019042327528541
"New York, NY",19-2032,Materials Scientists,detailed,79450.0,83120.0,120650.0,137210.0,179270.0,0.037963732689711316
"New York, NY",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,55170.0,68220.0,85510.0,107700.0,143750.0,0.022846631213377044
"New York, NY",19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,65260.0,77530.0,90810.0,120240.0,162360.0,0.015936091739907177
"New York, NY",19-2043,Hydrologists,detailed,67760.0,68720.0,88100.0,126680.0,161430.0,0.02515438988591301
"New York, NY",19-2099,"Physical Scientists, All Other",detailed,76150.0,105930.0,139560.0,167130.0,190780.0,0.02795522616578383
"New York, NY",19-3011,Economists,detailed,86930.0,121830.0,176090.0,229570.0,297870.0,0.03752374515856527
"New York, NY",19-3022,Survey Researchers,detailed,54890.0,74320.0,87620.0,110900.0,130060.0,0.01659917935745514
"New York, NY",19-3033,Clinical and Counseling Psychologists,detailed,64750.0,84140.0,120510.0,139370.0,208000.0,0.03657816851570006
"New York, NY",19-3034,School Psychologists,detailed,79340.0,91500.0,117540.0,148780.0,150060.0,0.025360207585046535
"New York, NY",19-3039,"Psychologists, All Other",detailed,59910.0,89040.0,132220.0,140730.0,161180.0,0.04033018619793083
"New York, NY",19-3051,Urban and Regional Planners,detailed,65040.0,81100.0,99150.0,115300.0,140610.0,0.020298354956659548
"New York, NY",19-3091,Anthropologists and Archeologists,detailed,56320.0,63480.0,66310.0,101800.0,114880.0,0.004371107514683503
"New York, NY",19-3093,Historians,detailed,49750.0,56580.0,80400.0,102440.0,111970.0,0.03576041871942093
"New York, NY",19-3099,"Social Scientists and Related Workers, All Other",detailed,74520.0,84200.0,107170.0,125320.0,135880.0,0.02441543618979658
"New York, NY",19-4013,Food Science Technicians,detailed,38920.0,47370.0,60020.0,67640.0,77450.0,0.023951203149607414
"New York, NY",19-4021,Biological Technicians,detailed,41240.0,53180.0,62780.0,75680.0,86730.0,0.01673388540754006
"New York, NY",19-4031,Chemical Technicians,detailed,45780.0,50960.0,60320.0,75760.0,81710.0,0.01700524181167662
"New York, NY",19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,42640.0,48310.0,62650.0,81130.0,106300.0,0.02633326149341264
"New York, NY",19-4043,"Geological Technicians, Except Hydrologic Technicians",detailed,44360.0,53620.0,57150.0,71850.0,73130.0,0.006396093947029113
"New York, NY",19-4051,Nuclear Technicians,detailed,99820.0,121740.0,171470.0,171470.0,171480.0,0.03484542745749897
"New York, NY",19-4061,Social Science Research Assistants,detailed,39830.0,50020.0,65330.0,82700.0,107390.0,0.027062557906758045
"New York, NY",19-4071,Forest and Conservation Technicians,detailed,48570.0,53290.0,60060.0,75840.0,85860.0,0.012031337833685374
"New York, NY",19-4092,Forensic Science Technicians,detailed,63970.0,64300.0,81670.0,100310.0,105920.0,0.024200912118459872
"New York, NY",19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,46470.0,53910.0,64730.0,81100.0,97650.0,0.018459180992702162
"New York, NY",19-5011,Occupational Health and Safety Specialists,detailed,60060.0,67590.0,96320.0,126300.0,149720.0,0.036056411743600636
"New York, NY",19-5012,Occupational Health and Safety Technicians,detailed,52790.0,62100.0,77150.0,80270.0,98550.0,0.021937728581186144
"New York, NY",21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,50330.0,62070.0,77580.0,99890.0,129750.0,0.022555297501551275
"New York, NY",21-1013,Marriage and Family Therapists,detailed,59420.0,68040.0,91130.0,101090.0,110990.0,0.029650196075050594
"New York, NY",21-1015,Rehabilitation Counselors,detailed,40040.0,45550.0,50000.0,60860.0,80360.0,0.009364816207925841
"New York, NY",21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,42410.0,48760.0,61020.0,77650.0,101190.0,0.0226825617204649
"New York, NY",21-1019,"Counselors, All Other",detailed,48590.0,55700.0,63300.0,78950.0,92670.0,0.012872666767069552
"New York, NY",21-1021,"Child, Family, and School Social Workers",detailed,49820.0,58790.0,66540.0,89450.0,108720.0,0.012460138476480642
"New York, NY",21-1022,Healthcare Social Workers,detailed,50060.0,59820.0,78610.0,99060.0,108260.0,0.027692385605182723
"New York, NY",21-1023,Mental Health and Substance Abuse Social Workers,detailed,52800.0,65550.0,82450.0,98880.0,125870.0,0.023202980173686605
"New York, NY",21-1029,"Social Workers, All Other",detailed,58810.0,67550.0,85080.0,101650.0,118350.0,0.023340619146293262
"New York, NY",21-1091,Health Education Specialists,detailed,47070.0,55760.0,64110.0,82990.0,124110.0,0.01405217568381012
"New York, NY",21-1092,Probation Officers and Correctional Treatment Specialists,detailed,52210.0,60530.0,79370.0,101140.0,107790.0,0.027468628778703597
"New York, NY",21-1093,Social and Human Service Assistants,detailed,36070.0,42190.0,47860.0,57600.0,67420.0,0.012689522941826459
"New York, NY",21-1094,Community Health Workers,detailed,45760.0,51720.0,59340.0,72340.0,92020.0,0.013838787756525583
"New York, NY",21-1099,"Community and Social Service Specialists, All Other",detailed,50520.0,62330.0,66580.0,79680.0,95590.0,0.0066179405626627386
"New York, NY",21-2011,Clergy,detailed,39370.0,47390.0,61860.0,89740.0,131510.0,0.02700443888981008
"New York, NY",21-2021,"Directors, Religious Activities and Education",detailed,35680.0,43820.0,59170.0,87370.0,99990.0,0.030487954456716926
"New York, NY",21-2099,"Religious Workers, All Other",detailed,33470.0,35390.0,51120.0,106540.0,146070.0,0.03745920469236497
"New York, NY",23-1011,Lawyers,detailed,94070.0,131240.0,208880.0,324310.0,391620.0,0.0475700264749519
"New York, NY",23-1012,Judicial Law Clerks,detailed,58890.0,58890.0,58890.0,82190.0,138830.0,0.0
"New York, NY",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,90020.0,105930.0,130960.0,132800.0,172620.0,0.021437903033074024
