city,nodegree_median,occupations,baseline_index
"Seattle, WA",51940.0,333,1.178312159709619
"San Francisco, CA",50820.0,336,1.1529038112522687
"Boston, MA",47530.0,337,1.0782667876588021
"Minneapolis, MN",47320.0,320,1.073502722323049
"New York, NY",47230.0,381,1.0714609800362977
"Denver, CO",46910.0,315,1.0642014519056262
"San Diego, CA",46440.0,332,1.0535390199637023
"Los Angeles, CA",46190.0,380,1.0478675136116153
"Phoenix, AZ",45790.0,317,1.0387931034482758
"Philadelphia, PA",43970.0,359,0.9975045372050817
"Chicago, IL",43650.0,356,0.9902450090744102
"Nashville, TN",43190.0,294,0.9798094373865699
"Charlotte, NC",42830.0,322,0.9716424682395645
"Detroit, MI",41250.0,331,0.9357985480943739
"Columbus, OH",41200.0,292,0.9346642468239564
"Austin, TX",39850.0,276,0.9040381125226861
"Atlanta, GA",39530.0,338,0.8967785843920145
"Cleveland, OH",39080.0,306,0.8865698729582577
"Miami, FL",38580.0,337,0.8752268602540835
"Dallas, TX",38510.0,355,0.8736388384754991
"Houston, TX",38000.0,347,0.8620689655172413
"San Antonio, TX",37470.0,304,0.8500453720508166
