city,all_occupations_median,wage_index
"San Francisco, CA",74260.0,1.4566496665358963
"Seattle, WA",72610.0,1.4242840329540996
"Boston, MA",66620.0,1.3067869752844252
"Denver, CO",62320.0,1.2224401726167125
"New York, NY",61430.0,1.2049823460180462
"Minneapolis, MN",59320.0,1.1635935661043546
"San Diego, CA",58690.0,1.1512357787367595
"Austin, TX",56950.0,1.117104746959592
"Los Angeles, CA",55850.0,1.0955276579050608
"Chicago, IL",54720.0,1.0733621027854061
"Philadelphia, PA",54310.0,1.0653197332287172
"Detroit, MI",52080.0,1.0215770890545313
"Dallas, TX",51440.0,1.0090231463318948
"Phoenix, AZ",51380.0,1.0078462142016478
"Columbus, OH",51340.0,1.007061592781483
"Atlanta, GA",51170.0,1.0037269517457827
"Nashville, TN",50390.0,0.9884268340525696
"Cleveland, OH",50140.0,0.9835229501765398
"Charlotte, NC",49990.0,0.9805806198509219
"Houston, TX",49410.0,0.9692036092585328
"Miami, FL",48640.0,0.954099646920361
"San Antonio, TX",47010.0,0.9221263240486465
