major,starting_salary,median_salary,wage_growth_span_years,unemployment_rate,underemployment_rate,share_with_graduate_degree,median_wage_early_career,median_wage_mid_career
Accounting,64214.0,97000,18.0,2.553,21.156,33.667,68000,97000
Advertising and Public Relations,56003.0,92000,18.0,5.677,38.076,22.819,60000,92000
Aerospace Engineering,79370.0,130000,18.0,2.176,14.709,45.525,85000,130000
Agriculture,52869.0,80000,18.0,1.395,57.098,22.516,56000,80000
Animal and Plant Sciences,42797.0,79000,18.0,2.539,53.538,36.593,46600,79000
Anthropology,42409.0,65000,18.0,7.922,55.327,48.2,45000,65000
Architecture,56102.0,91000,18.0,6.844,25.669,40.838,60000,91000
Art History,40168.0,91000,18.0,6.688,45.263,47.788,45000,91000
Biochemistry,46795.0,100000,18.0,2.685,42.018,71.939,52000,100000
Biology,40769.0,83000,18.0,4.292,51.13,63.983,45000,83000
Business Analytics,67342.0,109000,18.0,5.034,28.668,26.735,72000,109000
Business Management,52659.0,82000,18.0,3.786,52.605,25.274,56000,82000
Chemical Engineering,78888.0,135000,18.0,4.711,17.862,48.111,85000,135000
Chemistry,45812.0,86000,18.0,4.326,42.827,67.479,50000,86000
Civil Engineering,70004.0,115000,18.0,2.256,15.567,37.138,75000,115000
Commercial Art & Graphic Design,46350.0,80000,18.0,5.743,37.14,13.002,50000,80000
Communications,47770.0,88000,18.0,3.856,53.028,24.652,52000,88000
Computer Engineering,84713.0,131000,18.0,7.783,15.835,39.432,90000,131000
Computer Science,82602.0,120000,18.0,6.992,19.127,32.691,87000,120000
Construction Services,69525.0,120000,18.0,2.184,17.933,12.214,75000,120000
Criminal Justice,46350.0,80000,18.0,3.557,65.79,24.609,50000,80000
Early Childhood Education,43963.0,52000,18.0,6.593,22.278,43.765,45000,52000
Earth Sciences,46835.0,75000,18.0,3.836,31.355,45.557,50000,75000
Economics,66762.0,115000,18.0,3.524,33.094,41.595,72000,115000
Electrical Engineering,76809.0,123000,18.0,3.159,21.106,47.67,82000,123000
Elementary Education,43567.0,55000,18.0,1.18,16.213,50.596,45000,55000
Engineering Technologies,60255.0,104000,18.0,1.74,44.365,27.941,65000,104000
English Language,44571.0,76000,18.0,6.14,48.544,46.201,48000,76000
Environmental Studies,46350.0,80000,18.0,6.307,50.523,31.946,50000,80000
Ethnic Studies,47597.0,90000,18.0,4.856,49.554,51.213,52000,90000
Family and Consumer Sciences,45709.0,65000,18.0,4.29,45.612,35.703,48000,65000
Finance,64890.0,112000,18.0,2.758,27.758,31.483,70000,112000
Fine Arts,41715.0,72000,18.0,7.655,58.87,22.475,45000,72000
Foreign Language,44477.0,77000,18.0,1.579,54.021,53.138,48000,77000
General Business,56202.0,90000,18.0,4.314,50.409,25.271,60000,90000
General Education,43440.0,56000,18.0,2.63,28.07,51.683,45000,56000
General Engineering,71038.0,105000,18.0,4.536,31.097,37.058,75000,105000
General Social Sciences,41655.0,75000,18.0,2.256,38.007,39.333,45200,75000
Geography,45643.0,88000,18.0,1.6,43.009,34.712,50000,88000
Health Services,47695.0,67000,18.0,3.819,45.127,52.937,50000,67000
History,43669.0,80000,18.0,4.311,50.077,51.388,47500,80000
Industrial Engineering,80543.0,100000,18.0,4.151,31.729,40.607,83000,100000
Information Systems & Management,62809.0,100000,18.0,5.979,25.637,27.853,67000,100000
Interdisciplinary Studies,48510.0,80000,18.0,3.94,45.232,40.358,52000,80000
International Affairs,60576.0,90000,18.0,6.105,45.163,46.306,64000,90000
Journalism,44667.0,87000,18.0,2.319,43.256,26.278,49000,87000
Leisure and Hospitality,41441.0,75000,18.0,2.734,58.149,36.146,45000,75000
Liberal Arts,41441.0,75000,18.0,3.836,54.597,30.9,45000,75000
Marketing,55255.0,100000,18.0,4.399,49.343,19.665,60000,100000
Mass Media,46350.0,80000,18.0,5.158,52.125,19.326,50000,80000
Mathematics,66087.0,100000,18.0,5.767,26.225,51.343,70000,100000
Mechanical Engineering,74936.0,120000,18.0,4.364,20.088,39.059,80000,120000
Medical Technicians,59503.0,80000,18.0,6.236,47.029,24.716,62000,80000
Miscellaneous Biological Science,42072.0,80000,18.0,4.404,46.851,59.486,46000,80000
Miscellaneous Education,46303.0,60000,18.0,1.089,24.543,59.923,48000,60000
Miscellaneous Engineering,71038.0,105000,18.0,3.686,26.418,46.305,75000,105000
Miscellaneous Physical Sciences,57165.0,81000,18.0,2.522,22.538,54.031,60000,81000
Miscellaneous Technologies,49214.0,96000,18.0,3.597,49.028,19.517,54000,96000
Nursing,67588.0,87000,18.0,2.147,12.781,30.292,70000,87000
Nutrition Sciences,47359.0,70000,18.0,4.536,48.293,50.561,50000,70000
Performing Arts,40374.0,75000,18.0,6.95,63.946,38.366,44000,75000
Pharmacy,35421.0,85000,18.0,5.616,30.545,67.369,40000,85000
Philosophy,48510.0,80000,18.0,5.123,47.116,56.853,52000,80000
Physics,62317.0,105000,18.0,6.631,29.112,67.255,67000,105000
Political Science,46795.0,100000,18.0,4.482,48.662,52.741,52000,100000
Psychology,41715.0,72000,18.0,4.985,48.291,51.864,45000,72000
Public Policy and Law,51775.0,80000,18.0,2.237,45.532,46.963,55000,80000
Secondary Education,43064.0,62000,18.0,2.115,21.677,52.733,45300,62000
Social Services,40750.0,60000,18.0,1.943,30.136,53.784,43000,60000
Sociology,46336.0,79000,18.0,4.589,52.031,39.137,49900,79000
Special Education,44563.0,56000,18.0,0.739,16.042,61.091,46000,56000
Theology and Religion,38616.0,66000,18.0,3.116,47.464,46.422,41600,66000
Treatment Therapy,47359.0,70000,18.0,2.616,39.066,53.363,50000,70000
