state,system,in_state,campuses
AK,University of Alaska System of Higher Education,8820.0,3
AL,The University of Alabama System,11878.0,3
AR,University of Arkansas System,9318.0,4
AZ,Arizona Board of Regents,12144.0,4
CA,California State University,7602.0,23
CA,University of California,14560.0,9
CO,Colorado State University System,9401.0,3
CO,University of Colorado,10438.0,3
CT,Connecticut State Colleges and Universities,12763.0,5
FL,State University System of Florida,6118.0,13
GA,University System of Georgia,5498.0,21
HI,University of Hawaii Board of Regents,7838.0,3
IL,University of Illinois Board of Trustees,15816.0,3
IN,Indiana University,8179.0,6
IN,Purdue University,9254.0,3
KS,Kansas State University System,8739.0,6
LA,Louisiana State University System,10376.0,5
LA,The University of Louisiana System,8864.0,9
MA,University of Massachusetts,16032.0,4
MD,University System of Maryland,9998.0,11
ME,University of Maine System,10000.0,6
MN,Minnesota State Colleges and Universities,10117.0,7
MN,University of Minnesota,14318.0,5
MO,University of Missouri System,14204.0,4
MS,Mississippi Institutions of Higher Learning,8700.0,8
MT,Montana University System,6706.0,5
NC,University of North Carolina,7266.0,16
ND,North Dakota University System,8876.0,6
NE,Nebraska State College System,7923.0,3
NE,University of Nebraska,9239.0,4
NH,University System of New Hampshire,14710.0,5
NV,Nevada System of Higher Education,8994.0,3
NY,City University of New York,7410.0,12
NY,State University of New York System,8711.0,26
OH,The University System of Ohio,11767.0,3
OK,Oklahoma State System of Higher Education,7922.0,5
OK,Regional University System of Oklahoma,7200.0,3
PA,Pennsylvania State System of Higher Education,11084.0,10
PA,The Pennsylvania State University,15180.0,20
PA,University of Pittsburgh,14638.0,4
PR,University of Puerto Rico,5324.0,10
SC,University of South Carolina,11172.0,4
SD,South Dakota Board of Regents,9366.0,6
TN,The University of Tennessee System,10598.0,4
TX,Texas A&M University System,9354.0,11
TX,Texas State University System,9066.0,4
TX,Texas Tech University System,10817.0,5
TX,The University of Texas System,9577.0,13
TX,University of Houston System,7929.0,4
TX,University of North Texas System,10921.0,3
WA,University of Washington,12643.0,3
WI,University of Wisconsin System,8487.0,15
WV,West Virginia Higher Education Policy Commission,8792.0,6
