state,occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate
AL,11-1011,Chief Executives,detailed,101670.0,134650.0,166420.0,222490.0,317400.0,0.021409554414415277
AL,11-1021,General and Operations Managers,detailed,55160.0,76840.0,111790.0,169510.0,243600.0,0.03820128002580425
AL,11-2011,Advertising and Promotions Managers,detailed,60000.0,62500.0,64640.0,143210.0,213860.0,0.0033723593988554956
AL,11-2021,Marketing Managers,detailed,70790.0,89950.0,120160.0,164800.0,225300.0,0.02938035359993929
AL,11-2022,Sales Managers,detailed,66050.0,87490.0,124040.0,167200.0,218270.0,0.03552439403499097
AL,11-2032,Public Relations Managers,detailed,63380.0,80070.0,98210.0,127510.0,176630.0,0.020630607702623927
AL,11-2033,Fundraising Managers,detailed,59760.0,73740.0,83700.0,107310.0,160290.0,0.012749954799226915
AL,11-3012,Administrative Services Managers,detailed,46690.0,63460.0,114550.0,154220.0,207300.0,0.06083906131109362
AL,11-3013,Facilities Managers,detailed,82450.0,99440.0,121010.0,144990.0,174990.0,0.01982584646693364
AL,11-3021,Computer and Information Systems Managers,detailed,83260.0,105780.0,138670.0,174470.0,213460.0,0.02744337297817223
AL,11-3031,Financial Managers,detailed,86340.0,108390.0,140500.0,191080.0,256750.0,0.02628672368955476
AL,11-3051,Industrial Production Managers,detailed,69560.0,92350.0,122520.0,160380.0,204050.0,0.028672213518788237
AL,11-3061,Purchasing Managers,detailed,77990.0,98100.0,130710.0,158110.0,188140.0,0.02911517147729148
AL,11-3071,"Transportation, Storage, and Distribution Managers",detailed,63710.0,91120.0,118320.0,149540.0,198970.0,0.02646570772223633
AL,11-3111,Compensation and Benefits Managers,detailed,84090.0,101300.0,118470.0,152880.0,205840.0,0.01578055359533992
AL,11-3121,Human Resources Managers,detailed,70520.0,85640.0,113210.0,153650.0,195570.0,0.028302314175142618
AL,11-3131,Training and Development Managers,detailed,92000.0,101780.0,128750.0,160420.0,193900.0,0.023784332700618194
AL,11-9021,Construction Managers,detailed,61970.0,77190.0,96960.0,121330.0,157460.0,0.023064833417409947
AL,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,27290.0,34900.0,41780.0,58370.0,77530.0,0.01815594364881412
AL,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,76150.0,82000.0,97480.0,105450.0,123070.0,0.01744318419773605
AL,11-9033,"Education Administrators, Postsecondary",detailed,62570.0,78490.0,100030.0,132170.0,211370.0,0.0245463110991333
AL,11-9039,"Education Administrators, All Other",detailed,38540.0,59970.0,94610.0,113350.0,129720.0,0.0466471600187206
AL,11-9041,Architectural and Engineering Managers,detailed,106100.0,131290.0,162350.0,201190.0,236230.0,0.02146164634180492
AL,11-9051,Food Service Managers,detailed,45770.0,57080.0,63010.0,79000.0,97450.0,0.009932972848355481
AL,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,62190.0,63890.0,66540.0,66980.0,77720.0,0.004072311013282981
AL,11-9081,Lodging Managers,detailed,45750.0,59740.0,69420.0,88340.0,104370.0,0.015130646287262461
AL,11-9111,Medical and Health Services Managers,detailed,64640.0,79500.0,97790.0,118440.0,159450.0,0.020922397641703006
